"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","Operational","RZZ error"
"0","159.0267652328979","246.8634827737182","0.135498046875","0.13818359375","0.10693359375","1560","0.00011903711810332294","32","0.00011903711810332294","0","0.00011903711810332294","0.00011903711810332294","15:0.0028073391158400796;1:0.0035005715477738897","15:68;1:68","Yes",""
"1","230.56070688910015","179.2658724224209","0.0628662109375","0.04638671875","0.07275390625","1560","0.00015108738899574872","32","0.00015108738899574872","0","0.00015108738899574872","0.00015108738899574872","2:0.0029210695275398435;0:0.0035005715477738897","2:68;0:68","Yes","2:0.004409737981508927"
"2","160.92489796776042","141.1576152563378","0.08056640625","0.08154296875","0.03564453125","1560","0.0003184874883907476","32","0.0003184874883907476","0","0.0003184874883907476","0.0003184874883907476","1:0.0029210695275398435;3:0.0021697658819153087","1:68;3:68","Yes","1:0.004409737981508927;3:0.004422985746359381"
"3","230.91728463266563","173.93192151522985","0.0242919921875","0.02685546875","0.01318359375","1560","0.00015125716884186","32","0.00015125716884186","0","0.00015125716884186","0.00015125716884186","2:0.0021697658819153087;4:0.0022061352910527077","2:68;4:68","Yes","2:0.004422985746359381;4:0.00255772777553287"
"4","148.87335456120726","170.2536188507025","0.033935546875","0.04345703125","0.0244140625","1560","0.00017089212549669126","32","0.00017089212549669126","0","0.00017089212549669126","0.00017089212549669126","3:0.0022061352910527077;5:0.007709604988002855;16:0.0023591500351081707","3:68;5:68;16:80","Yes","3:0.00255772777553287;5:0.05335282050072909;16:0.002585061789631027"
"5","104.20282436642452","96.01205522273312","0.008544921875","0.015625","0.001953125","1560","0.0010302463466595915","32","0.0010302463466595915","0","0.0010302463466595915","0.0010302463466595915","6:0.005924614323786631;4:0.007709604988002855","6:68;4:68","Yes","6:0.035726296852447825;4:0.05335282050072909"
"6","44.75148937954304","77.21702060922127","0.015869140625","0.0283203125","0.001953125","1560","0.0004641931720087169","32","0.0004641931720087169","0","0.0004641931720087169","0.0004641931720087169","5:0.005924614323786631;7:0.0029829093875124446","5:68;7:68","Yes","5:0.035726296852447825;7:0.004662298687134775"
"7","228.53860581648507","163.08990928830175","0.02685546875","0.01171875","0.0185546875","1560","0.0006737499254662833","32","0.0006737499254662833","0","0.0006737499254662833","0.0006737499254662833","6:0.0029829093875124446;8:0.0028832263665309887","6:68;8:68","Yes","6:0.004662298687134775;8:0.0035452354332687896"
"8","259.0690249819914","201.32969773191115","0.041259765625","0.0322265625","0.04345703125","1560","0.00034288113335602724","32","0.00034288113335602724","0","0.00034288113335602724","0.00034288113335602724","9:0.0030272077862695534;17:0.0030789706726328525;7:0.0028832263665309887","9:68;17:108;7:68","Yes","9:0.004101598018387276;17:0.004125772977373848;7:0.0035452354332687896"
"9","167.8047816358725","163.41026443328764","0.0201416015625","0.02685546875","0.0029296875","1560","0.00025001550971542343","32","0.00025001550971542343","0","0.00025001550971542343","0.00025001550971542343","8:0.0030272077862695534;10:0.0029767859659512175","8:68;10:68","Yes","8:0.004101598018387276;10:0.003421667431344727"
