program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.4545454545454546,1.2689393939393943,1.3977272727272727,1.1638257575757576,1.2954545454545454,1.0520833333333335,1.2667159384774485,0.9022041642569437
bv,19,5.055555555555555,5.055555555555555,4.125,3.73148148148148,3.5833333333333335,3.986111111111111,5.055555555555555,2.6666666666666665
gcm,13,0.6431372549019608,0.5098039215686273,0.5161764705882353,0.583660130718954,0.5318627450980392,0.4447712418300654,0.5149073418759301,0.3643882336620967
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333,0.42318511551165555,0.42318511551165555
knn,25,1.6451612903225807,1.4516129032258065,1.3548387096774193,1.3158602150537633,1.1653225806451613,1.125,1.3720195921959906,0.999343871374294
multiplier,15,2.4511278195488724,2.1365914786967424,1.8834586466165413,1.8884711779448617,1.5657894736842106,1.5789473684210524,2.214242216340808,1.4603605499972925
qec9xz,17,6.0,5.583333333333333,4.0,4.7013888888888875,4.333333333333333,4.749999999999999,6.000000000018336,3.375000000009168
qft,18,2.5,3.022727272727273,2.2386363636363638,2.2689393939393945,2.022727272727273,2.2904040404040398,2.160051523350585,1.1898652557272098
qpeexact,16,3.6627906976744184,3.6686046511627914,2.729651162790698,2.6211240310077484,2.63953488372093,2.695736434108527,3.3487151902182455,1.7384488821367492
qram,20,2.448717948717949,2.2350427350427347,2.1634615384615383,2.032051282051281,2.032051282051282,1.764957264957265,2.2321259821968717,1.439601430301794
sat,11,1.7696078431372548,1.2540849673202614,1.2977941176470589,1.36437908496732,1.204656862745098,1.055964052287582,1.4988918494727959,1.0659542538284132
swap_test,25,1.5806451612903225,1.438172043010753,1.3669354838709677,1.118279569892473,1.1612903225806452,1.10752688172043,1.3660373757259285,0.9347829060152013
wstate,27,1.0357142857142858,1.0178571428571428,1.5,1.0178571428571428,1.0178571428571428,1.0089285714285714,1.0178571428571423,0.9999999999999994
