program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.4545454545454546,1.2689393939393943,1.4829545454545454,1.2667159384774485,0.9022041642569437,1.3267045454545456,1.2954545454545454,1.0520833333333335
bv_n19,19,5.055555555555555,5.055555555555555,4.125,5.055555555555555,2.6666666666666665,3.73148148148148,3.5833333333333335,3.986111111111111
gcm_n13,13,0.6882352941176471,0.5098039215686273,0.5161764705882353,0.5200359147398378,0.3577214101985845,0.583660130718954,0.5318627450980392,0.4447712418300654
ising_n26,26,1.0,0.4583333333333333,0.75,0.42318511551165555,0.42318511551165555,0.4583333333333333,0.75,0.4583333333333333
knn_n25,25,1.6451612903225807,1.4596774193548387,1.3548387096774193,1.3720195921959906,0.999343871374294,1.3158602150537633,1.1653225806451613,1.125
multiplier_n15,15,2.4511278195488724,2.1365914786967424,1.8834586466165413,2.214242216340808,1.4603605499972925,2.06578947368421,1.5657894736842106,1.5789473684210524
qec9xz_n17,17,6.0,5.583333333333333,4.0,6.000000000018336,3.375000000009168,4.7013888888888875,4.333333333333333,5.104166666666667
qft_n18,18,2.4242424242424243,2.1717171717171717,2.6931818181818183,2.235179412166853,1.147703800295299,1.640151515151516,1.753787878787879,1.6603535353535355
qpeexact_16,16,4.348837209302325,3.6686046511627914,2.729651162790698,3.9671874991412603,2.0607661757744413,2.6211240310077484,2.752906976744186,2.695736434108527
qram_n20,20,2.448717948717949,2.2350427350427347,2.3653846153846154,2.2321259821968717,1.439601430301794,2.032051282051281,2.032051282051282,2.4989316239316235
sat_n11,11,1.7941176470588236,1.2540849673202614,1.2977941176470589,1.5476505529783187,1.093142285216365,1.430555555555556,1.204656862745098,1.055964052287582
swap_test_n25,25,1.5806451612903225,1.438172043010753,1.3669354838709677,1.3660373757259285,0.9347829060152013,1.118279569892473,1.1612903225806452,1.10752688172043
wstate_n27,27,1.0357142857142858,1.0178571428571428,1.5,1.0178571428571423,0.9999999999999994,1.0178571428571428,1.0178571428571428,1.0089285714285714
