program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.9,2.3461538461538463,1.8576923076923078,1.2423076923076923,1.5653846153846154,1.3346153846153848,1.6662605823158694,1.0563889943888785
bv,19,7.222222222222222,7.231481481481483,5.833333333333333,5.509259259259261,4.944444444444445,5.347222222222222,7.222222222222222,4.083333333333333
ising,26,1.64,0.8333333333333333,1.17,0.8383333333333333,1.15,0.8616666666666666,0.9557333185848601,0.6407921933876897
knn,25,2.1666666666666665,1.8115079365079367,1.9107142857142858,1.6111111111111116,1.6636904761904763,1.7499999999999993,1.8149433272819193,1.1997742693730962
multiplier,15,2.108108108108108,1.693693693693694,1.9493243243243243,1.637012012012011,1.7038288288288288,1.5285285285285284,1.8304233706826383,1.2567962083745166
qec9xz,17,4.84375,4.822916666666666,4.1953125,3.8125000000000018,4.9375,5.229166666666667,4.812500000875807,2.812500000437868
qft,18,2.4444444444444446,1.8316993464052291,1.6053921568627452,1.497549019607846,1.457516339869281,1.5876906318082804,2.0498726204172337,1.0905988351801834
qpeexact,16,2.8884615384615384,2.4416666666666664,2.3019230769230767,1.9567307692307767,1.8605769230769231,1.816025641025642,2.432221134831162,1.2616310130308257
qram,20,3.0307692307692307,3.2256410256410253,2.521153846153846,2.5846153846153865,2.1769230769230767,1.9358974358974361,2.8143029361660767,1.7748228554259187
sat,11,1.6031746031746033,1.2830687830687832,1.3482142857142858,1.3349867724867723,1.2648809523809523,1.0281084656084654,1.2845432068053797,0.9157548884138561
swap_test,25,2.0595238095238093,1.7777777777777775,1.9821428571428572,1.627976190476191,2.2023809523809526,1.8154761904761902,1.7469150135673377,1.1659854639998066
wstate,27,2.5961538461538463,2.474358974358974,2.206730769230769,2.072115384615384,1.7788461538461537,1.9663461538461537,2.568536785222816,1.7261484289531603
