program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.8068181818181819,2.12310606060606,1.5852272727272727,1.597162815106733,1.0314259973577553,1.3210227272727275,1.5596590909090908,1.1912878787878787
bv,19,3.2777777777777777,3.2777777777777777,2.7916666666666665,3.2777777777777777,1.8888888888888888,2.5092592592592586,2.3333333333333335,2.523148148148148
gcm,13,0.6372549019607843,0.48692810457516333,0.5264705882352941,0.4684123503036611,0.34183115312164325,0.5439542483660129,0.5367647058823529,0.439705882352941
ising,26,4.25,2.7083333333333335,2.4375,2.806990363573364,1.6819903635733642,2.4166666666666665,2.875,2.4375000000000004
knn,25,1.935483870967742,1.6774193548387097,1.8991935483870968,1.6125436461613063,1.1347868796921317,1.4865591397849462,1.689516129032258,1.5577956989247312
multiplier,15,1.8796992481203008,1.5037593984962403,1.8214285714285714,1.661082325764718,1.1796588155428036,1.5682957393483714,1.593984962406015,1.4078947368421053
qec9xz,17,4.25,4.291666666666667,5.25,4.25,2.375,3.2916666666666665,5.375,5.770833333333333
qft,18,3.803030303030303,2.7777777777777772,2.4431818181818183,3.2434296333926014,1.7346192199638273,2.337121212121211,2.4318181818181817,2.5467171717171713
qpeexact,16,4.127906976744186,3.374031007751938,3.427325581395349,3.5548841008148466,1.865197497028757,2.7577519379844913,2.494186046511628,2.2858527131782944
qram,20,2.871794871794872,2.4358974358974357,2.1634615384615383,2.66288564772794,1.7631184954072587,2.2564102564102564,2.016025641025641,2.0160256410256405
sat,11,1.4803921568627452,1.1740196078431373,1.2830882352941178,1.1882501310166456,0.8929179787211734,1.269199346405229,1.178921568627451,0.9497549019607843
swap_test,25,2.0,1.639784946236559,1.7903225806451613,1.718481806050821,1.1988571788111655,1.5094086021505377,1.7701612903225807,1.6814516129032258
wstate,27,2.4285714285714284,2.023809523809524,2.4107142857142856,2.4107142857116552,1.7321428571402673,1.8571428571428572,1.8928571428571428,2.0654761904761902
