program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.4076923076923078,1.0243589743589743,1.4192307692307693,1.1698717948717947,1.228846153846154,1.1019230769230768,1.1947206030176691,0.8492297060987684
bv,19,4.388888888888889,4.388888888888889,3.6666666666666665,3.4351851851851842,2.9444444444444446,3.1666666666666665,4.388888888888889,2.6666666666666665
ising,26,1.78,1.163333333333333,1.335,0.903333333333333,1.27,0.9566666666666666,1.0971677206858845,0.7071677206858845
knn,25,1.880952380952381,1.5238095238095237,1.5892857142857142,1.4007936507936514,1.4613095238095237,1.2797619047619049,1.461753876670787,0.9906636691128642
multiplier,15,1.9864864864864864,1.4879879879879883,1.635135135135135,1.3224474474474468,1.6441441441441442,1.2117117117117115,1.717064262480501,1.1944378695965132
qec9xz,17,3.6875,3.8020833333333335,2.8828125,2.296875,2.34375,2.419270833333333,3.687499999999992,2.281249999999992
qft,18,2.0915032679738563,1.4128540305010915,1.5049019607843137,1.0827886710239665,1.3725490196078431,1.0552832244008719,1.375621541080434,0.7264227979179951
qpeexact,16,2.0576923076923075,1.4224358974358986,1.4711538461538463,1.0814102564102555,1.4826923076923078,1.2615384615384624,1.4203129546444555,0.7602437711395289
qram,20,2.4,1.7807692307692307,2.001923076923077,1.6993589743589739,1.7442307692307693,1.467948717948718,2.1362328627783187,1.4156401261521585
sat,11,1.4404761904761905,1.2156084656084658,1.2470238095238095,1.106150793650794,1.1398809523809523,0.9441137566137566,1.204341357060057,0.8717682738888962
swap_test,25,2.0595238095238093,1.1448412698412698,1.4642857142857142,1.3819444444444446,1.4732142857142858,1.334325396825397,1.6988698938944233,1.1414728068853104
wstate,27,1.25,1.3942307692307692,1.8173076923076923,1.5288461538461535,1.3076923076923077,1.3189102564102566,1.2380137165472642,1.086538461445977
