program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.2840909090909092,1.0359848484848482,1.1761363636363635,1.0075757575757578,1.1420454545454546,0.9829545454545454,1.0606853074437619,0.7946766307036808
bv,19,3.0,3.0,2.8333333333333335,2.4166666666666665,2.2222222222222223,2.361111111111111,3.0,1.9444444444444444
ising,26,8.0,6.75,4.3125,2.6666666666666665,3.625,3.5624999999999996,6.623897349565123,3.6238973495651234
knn,25,1.903225806451613,1.4838709677419355,1.6209677419354838,1.3629032258064515,1.5201612903225807,1.2741935483870968,1.4989959678518026,1.062171056812657
multiplier,15,1.9398496240601504,1.4849624060150375,1.5225563909774436,1.3013784461152882,1.550751879699248,1.1773182957393484,1.6711785209583434,1.1922161358351127
qec9xz,17,3.6666666666666665,3.6666666666666665,3.3125,2.7083333333333335,2.75,2.868055555555556,3.6666666666666665,2.3333333333333335
qft,18,4.409090909090909,2.98232323232323,3.1363636363636362,2.10858585858586,3.0454545454545454,2.0265151515151523,3.2566013728546555,1.677867412499369
qpeexact,16,3.0232558139534884,2.0368217054263558,2.1627906976744184,1.5775193798449625,2.0755813953488373,1.6211240310077522,2.0759296132139378,1.1257363304913497
qram,20,2.3461538461538463,1.5833333333333333,1.8269230769230769,1.5566239316239316,1.705128205128205,1.3386752136752136,2.1068381557934797,1.4684321429409373
sat,11,1.4411764705882353,1.159313725490196,1.2205882352941178,1.0882352941176472,1.1127450980392157,0.8553921568627451,1.239712800657402,0.9080939105112963
swap_test,25,1.9838709677419355,1.2284946236559138,1.4879032258064515,1.2674731182795695,1.5362903225806452,1.2190860215053763,1.6224424486018993,1.1715262731895433
wstate,27,1.3571428571428572,1.2321428571428572,1.7946428571428572,1.8452380952380951,1.2857142857142858,1.318452380952381,1.3348826163819416,1.1249999997967541
