program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,2.169230769230769,2.123076923076923,2.001923076923077,1.739743589743588,1.5692307692307692,1.8057692307692308,2.0307692307692307,1.2769230769230768
bv,19,2.4444444444444446,2.3333333333333335,2.125,1.6296296296296295,1.8333333333333333,1.7916666666666667,2.111111111111111,1.3333333333333333
gcm,13,1.442270058708415,1.2188519243313765,1.3576320939334638,1.0487606001304652,1.1369863013698631,1.04843444227006,1.1770018631950434,0.8279644957241108
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336,0.31716772088469747,0.3171677208846974
knn,25,1.2857142857142858,1.2261904761904763,1.3928571428571428,1.0357142857142858,1.0714285714285714,1.1428571428571428,1.3095238095238095,1.2321428571428572
multiplier,15,2.68018018018018,2.5045045045045047,2.375,2.229354354354358,2.036036036036036,2.1936936936936937,2.490990990990991,1.4864864864864864
qec9xz,17,3.5625,3.5625,2.9765625,2.7708333333333335,2.5625,2.984375,3.5625,2.078125
qft,18,1.4901960784313726,1.450435729847495,1.1176470588235294,1.0476579520697171,0.9950980392156863,1.0961328976034856,1.4312703999039393,0.7189542358996821
qpeexact,16,2.957692307692308,2.757692307692306,2.2182692307692307,2.071474358974364,1.9961538461538462,2.09198717948718,2.7197533240685097,1.3755595280573918
qram,20,3.253846153846154,3.076923076923077,2.8153846153846156,2.482692307692309,2.3653846153846154,2.4711538461538463,2.9615384615384617,1.876923076923077
sat,11,2.2936507936507935,2.126984126984127,2.0327380952380953,1.6712962962962972,1.8253968253968254,1.7301587301587302,2.126984126984127,1.2857142857142858
swap_test,25,1.7738095238095237,1.2261904761904763,1.4642857142857142,1.5744047619047625,1.380952380952381,1.0803571428571428,1.2261904761904763,1.1160714285714286
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
