program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.875,1.6079545454545454,1.8153409090909092,1.4469696969696977,1.4772727272727273,1.4602272727272727,1.6420454545454546,1.1704545454545454
bv,19,2.5555555555555554,2.388888888888889,2.2916666666666665,1.7407407407407407,1.9444444444444444,1.8472222222222223,2.2777777777777777,1.3888888888888888
gcm,13,1.3333333333333333,1.073529411764707,1.2323529411764707,0.9163398692810474,1.057843137254902,0.9240196078431386,1.0752997329869844,0.7486277163126841
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333,0.4231851155116666,0.4231851155116666
knn,25,1.3870967741935485,1.3064516129032258,1.3548387096774193,1.0483870967741935,1.096774193548387,1.1935483870967742,1.4193548387096775,1.314516129032258
multiplier,15,2.1654135338345863,1.962406015037594,1.962406015037594,1.8740601503759389,1.593984962406015,1.7048872180451127,1.9323308270676691,1.3176691729323309
qec9xz,17,4.083333333333333,4.166666666666667,3.625,3.3611111111111107,2.875,3.2291666666666665,4.083333333333333,2.2916666666666665
qft,18,1.5,1.4191919191919193,1.125,1.0303030303030298,1.0075757575757576,1.078282828282828,1.420696836529356,0.7121213855165424
qpeexact,16,2.8372093023255816,2.7674418604651154,2.127906976744186,1.9554263565891465,2.063953488372093,2.0281007751937983,2.8611123728197674,1.473309184229651
qram,20,2.5,2.448717948717949,2.326923076923077,2.1014957264957266,1.9102564102564104,2.1025641025641026,2.3461538461538463,1.5288461538461537
sat,11,1.8823529411764706,1.6446078431372548,1.75,1.3672385620915029,1.482843137254902,1.375,1.6446078431372548,1.1004901960784315
swap_test,25,1.8709677419354838,1.3064516129032258,1.4516129032258065,1.6142473118279574,1.5080645161290323,1.1088709677419355,1.3064516129032258,1.157258064516129
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
