program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.625,1.5511363636363635,1.6534090909090908,1.4659090909090908,1.0909090909090908,1.2736742424242424,1.3579545454545454,1.1590909090909092
bv,19,1.8888888888888888,1.8888888888888888,1.5,1.8888888888888888,1.0,1.4444444444444444,1.4444444444444444,1.4444444444444444
gcm,13,1.3019607843137255,1.0470588235294132,1.2029411764705882,1.0449895219450487,0.7147811546977966,0.890196078431374,1.022549019607843,0.8919934640522887
ising,26,1.0,0.4583333333333333,0.75,0.4231851155116666,0.4231851155116666,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.3870967741935485,1.2903225806451613,1.3548387096774193,1.2903225806451613,0.8548387096774194,1.0483870967741935,1.096774193548387,1.096774193548387
multiplier,15,2.037593984962406,1.9924812030075187,1.843984962406015,1.9924812030075187,1.2781954887218046,1.5758145363408518,1.5526315789473684,1.6484962406015038
qec9xz,17,2.9166666666666665,3.0,2.4375,3.0833333333333335,1.6666666666666667,2.263888888888889,2.2083333333333335,2.4583333333333335
qft,18,1.4696969696969697,1.497474747474748,1.1022727272727273,1.4090912558815696,0.7121213855165424,1.0303030303030298,1.2272727272727273,1.1502525252525253
qpeexact,16,2.127906976744186,1.6240310077519382,1.6133720930232558,1.6277018702307413,0.7742973150208939,1.149224806201551,1.7383720930232558,1.2025193798449612
qram,20,1.6923076923076923,1.7243589743589745,1.7403846153846154,1.7243589743589745,1.1153846153846154,1.4102564102564106,1.5192307692307692,1.3846153846153846
sat,11,1.6862745098039216,1.5024509803921569,1.588235294117647,1.4877450980392157,0.9950980392156863,1.224264705882353,1.286764705882353,1.2279411764705883
swap_test,25,1.3870967741935485,1.2903225806451613,1.3548387096774193,1.2903225806451613,0.8548387096774194,1.0483870967741935,1.096774193548387,1.096774193548387
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
