program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.6022727272727273,1.4431818181818181,1.6107954545454546,1.4488636363636365,1.0056818181818181,1.2623106060606062,1.2727272727272727,1.2670454545454546
bv,19,1.8333333333333333,1.8888888888888888,1.5,1.8333333333333333,1.0,1.4444444444444444,1.4444444444444444,1.4166666666666667
gcm,13,1.307843137254902,1.0418300653594788,1.201470588235294,1.038788449221198,0.7093517306160482,0.8839869281045768,1.0205882352941176,0.894934640522877
ising,26,3.0,2.125,2.4375,2.560844386169586,1.4682868327045506,1.625,2.5,2.1041666666666665
knn,25,1.3709677419354838,1.2258064516129032,1.3306451612903225,1.2258064516129032,0.8185483870967742,1.0161290322580645,1.0887096774193548,1.0403225806451613
multiplier,15,1.9473684210526316,1.887218045112782,1.7030075187969924,1.887218045112782,1.231203007518797,1.5131578947368423,1.5,1.5
qec9xz,17,2.9166666666666665,2.75,2.5,2.8333333333333335,1.7083333333333333,2.180555555555556,2.1666666666666665,2.1458333333333335
qft,18,2.090909090909091,1.9621212121212122,1.625,1.7728347778320312,0.8940416971842448,1.5227272727272736,1.4318181818181819,1.5984848484848486
qpeexact,16,2.2906976744186047,2.201550387596899,1.683139534883721,1.992325183957122,1.035660144894622,1.5019379844961256,1.7267441860465116,1.5067829457364346
qram,20,1.7435897435897436,1.6602564102564104,1.6923076923076923,1.6666666666666667,1.0384615384615385,1.2585470085470087,1.3269230769230769,1.3525641025641026
sat,11,1.6568627450980393,1.4313725490196079,1.5514705882352942,1.4313725490196079,0.9889705882352942,1.2062908496732028,1.2990196078431373,1.2475490196078431
swap_test,25,1.3709677419354838,1.2419354838709677,1.3306451612903225,1.2258064516129032,0.8306451612903226,1.0040322580645162,1.0887096774193548,1.0403225806451613
wstate,27,1.3214285714285714,1.4285714285714286,1.6339285714285714,1.5357142857142858,1.2321428571428572,1.3571428571428572,1.2142857142857142,1.2053571428571428
