program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.376923076923077,1.1846153846153846,1.425,1.037820512820513,1.1384615384615384,1.025,1.176923076923077,0.9134615384615384
bv,19,1.5,1.5,1.5,1.2222222222222223,1.3055555555555556,1.2222222222222223,1.5,1.0
ising,26,1.0,0.3833333333333333,0.75,0.38333333333333336,0.75,0.38333333333333336,0.3171677208846974,0.31716772088469747
knn,25,1.2857142857142858,1.2261904761904763,1.4196428571428572,1.036706349206349,1.0714285714285714,1.0476190476190477,1.2261904761904763,0.9017857142857143
multiplier,15,1.563063063063063,1.4189189189189189,1.5844594594594594,1.2428678678678677,1.2792792792792793,1.257882882882883,1.436936936936937,1.027027027027027
qec9xz,17,1.78125,1.71875,1.7109375,1.4375,1.5,1.4609375,1.9375,1.1875
qft,18,1.34640522875817,1.0452069716775607,1.0,0.7998366013071876,0.9362745098039216,0.8099128540305004,0.8952068004732817,0.44983590817918967
qpeexact,16,1.4615384615384615,1.1839743589743592,1.1076923076923078,0.9314102564102544,0.9865384615384616,0.8990384615384608,1.066564002403846,0.5467259333683894
qram,20,1.6,1.4384615384615385,1.5461538461538462,1.2160256410256411,1.2653846153846153,1.2884615384615385,1.4846153846153847,0.9826923076923076
sat,11,1.5396825396825398,1.3412698412698412,1.4464285714285714,1.1064814814814812,1.2063492063492063,1.1150793650793651,1.3333333333333333,0.8898809523809523
swap_test,25,1.2857142857142858,1.1785714285714286,1.4375,1.0357142857142858,1.1071428571428572,1.0654761904761905,1.1547619047619047,0.9107142857142857
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
