program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.3295454545454546,1.2954545454545454,1.3721590909090908,1.0700757575757576,1.1818181818181819,1.1193181818181819,1.2954545454545454,0.9119318181818182
bv,19,1.5555555555555556,1.6111111111111112,1.5833333333333333,1.2222222222222223,1.3888888888888888,1.2222222222222223,1.7222222222222223,1.0
gcm,13,1.2862745098039217,1.0333333333333352,1.1941176470588235,0.8774509803921582,1.0127450980392156,0.8825163398692822,1.00160708993115,0.7019730338021771
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333,0.4231851155116666,0.4231851155116666
knn,25,1.3709677419354838,1.1612903225806452,1.3185483870967742,1.0295698924731183,1.0887096774193548,1.0201612903225807,1.064516129032258,0.7943548387096774
multiplier,15,1.5112781954887218,1.5112781954887218,1.669172932330827,1.2819548872180453,1.4097744360902256,1.2293233082706767,1.406015037593985,0.9793233082706767
qec9xz,17,3.0833333333333335,1.8333333333333333,1.8125,1.5138888888888886,1.8333333333333333,1.625,2.0833333333333335,1.3333333333333333
qft,18,2.727272727272727,1.5353535353535361,1.9090909090909092,1.4823232323232334,1.9090909090909092,1.43939393939394,1.3982839873342803,0.8422074751420454
qpeexact,16,2.2209302325581395,1.602713178294574,1.5436046511627908,1.183139534883722,1.4883720930232558,1.1928294573643416,1.3508464014807413,0.6320467217023983
qram,20,1.5384615384615385,1.3653846153846154,1.5480769230769231,1.2617521367521367,1.1474358974358974,1.4070512820512822,1.3205128205128205,0.9903846153846154
sat,11,1.5637254901960784,1.3235294117647058,1.4669117647058822,1.1801470588235292,1.2034313725490196,1.1544117647058822,1.2181372549019607,0.9448529411764706
swap_test,25,1.4193548387096775,1.2419354838709677,1.3064516129032258,1.0349462365591398,1.153225806451613,1.1491935483870968,1.096774193548387,0.8064516129032258
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
