program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,3.5692307692307694,3.3461538461538463,3.478846153846154,2.6948717948717946,3.1769230769230767,2.9442307692307694
bv,19,1.8888888888888888,2.0555555555555554,1.875,1.4444444444444444,1.5555555555555556,1.4444444444444444
gcm,13,1.62426614481409,1.26549249836921,1.4119373776908024,1.0140247879973932,1.2592954990215264,1.0619699934768438
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336
knn,25,1.6428571428571428,1.7261904761904763,1.3928571428571428,1.046626984126984,1.0714285714285714,1.1875
multiplier,15,3.1621621621621623,3.018018018018018,2.489864864864865,2.1816816816816846,2.4527027027027026,2.65990990990991
qec9xz,17,5.4375,4.09375,3.75,3.4843750000000018,3.1875,3.53125
qft,18,1.7810457516339868,1.4640522875817004,1.3161764705882353,1.0781590413943365,1.2156862745098038,1.1072984749455341
qpeexact,16,3.2576923076923077,2.8871794871794854,2.544230769230769,2.072435897435903,2.0673076923076925,2.6442307692307683
qram,20,3.830769230769231,3.5,3.3634615384615385,3.0589743589743628,2.746153846153846,2.855769230769231
sat,11,2.4365079365079363,2.1626984126984126,2.3601190476190474,1.8498677248677273,1.6130952380952381,1.6825396825396826
swap_test,25,1.6428571428571428,1.4404761904761905,1.9821428571428572,1.046626984126984,1.0714285714285714,1.4226190476190477
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
