program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.7727272727272727,1.5511363636363635,1.7215909090909092,1.2831439393939397,1.3863636363636365,1.375
bv,19,1.8888888888888888,1.8888888888888888,1.5,1.4444444444444444,1.4444444444444444,1.4444444444444444
gcm,13,1.3215686274509804,1.0614379084967331,1.223529411764706,0.8970588235294132,1.0323529411764707,0.9013071895424845
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.3870967741935485,1.3064516129032258,1.3548387096774193,1.0631720430107525,1.096774193548387,1.1088709677419355
multiplier,15,2.037593984962406,1.9924812030075187,1.843984962406015,1.6484962406015033,1.631578947368421,1.7105263157894737
qec9xz,17,3.0833333333333335,2.9166666666666665,2.5,2.388888888888889,2.2083333333333335,2.4791666666666665
qft,18,2.515151515151515,1.497474747474748,1.7613636363636365,1.1199494949494948,1.7196969696969697,1.1603535353535355
qpeexact,16,2.697674418604651,1.8585271317829455,2.0755813953488373,1.7645348837209298,1.8604651162790697,1.7015503875968994
qram,20,2.0641025641025643,1.7243589743589745,2.0096153846153846,1.4604700854700858,1.564102564102564,1.560897435897436
sat,11,1.7254901960784315,1.5024509803921569,1.5955882352941178,1.2324346405228759,1.286764705882353,1.2279411764705883
swap_test,25,1.3870967741935485,1.3064516129032258,1.3548387096774193,1.0631720430107525,1.096774193548387,1.1008064516129032
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
