program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,2.7384615384615385,3.1307692307692307,3.15,2.3916666666666644,2.3153846153846156,2.6153846153846154
bv,19,9.055555555555555,6.722222222222222,3.5,6.351851851851856,3.5,3.0694444444444446
gcm,13,1.5772994129158513,1.1647097195042402,1.3664383561643836,1.0185909980430554,1.2152641878669277,1.0184279191128522
ising,26,1.78,1.1333333333333333,1.215,0.93,1.28,0.9433333333333331
knn,25,3.2023809523809526,3.0357142857142856,1.875,1.4930555555555558,1.3571428571428572,1.2172619047619047
multiplier,15,3.1036036036036037,2.5675675675675675,2.2466216216216215,1.9436936936936948,1.9594594594594594,1.8997747747747749
qec9xz,17,3.6875,3.65625,3.1171875,2.65625,2.5625,2.796875
qft,18,1.8954248366013071,2.15631808278867,1.588235294117647,1.2279411764705903,1.3071895424836601,1.515522875816994
qpeexact,16,2.7884615384615383,2.419871794871795,2.1951923076923077,1.7666666666666726,1.8557692307692308,1.8541666666666674
qram,20,3.123076923076923,3.0,2.6596153846153845,2.3371794871794864,2.223076923076923,2.401923076923077
sat,11,2.3333333333333335,2.0753968253968256,1.9166666666666667,1.5873015873015872,1.5158730158730158,1.7688492063492063
swap_test,25,1.6785714285714286,2.3452380952380953,1.6071428571428572,1.4523809523809523,1.2797619047619047,1.4345238095238095
wstate,27,1.8076923076923077,2.2115384615384617,2.2788461538461537,1.208333333333333,1.6153846153846154,2.125
