program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.5795454545454546,1.4602272727272727,1.6619318181818181,1.2547348484848486,1.3295454545454546,1.2613636363636365
bv,19,1.8888888888888888,2.0,1.7083333333333333,1.4351851851851853,1.5555555555555556,1.4444444444444444
gcm,13,1.315686274509804,1.0604575163398706,1.2088235294117646,0.8959150326797399,1.0284313725490195,0.897222222222223
ising,26,3.25,2.958333333333333,2.625,2.2916666666666665,2.5,1.9166666666666667
knn,25,1.435483870967742,1.3225806451612903,1.3911290322580645,1.0389784946236558,1.185483870967742,1.0766129032258065
multiplier,15,2.0977443609022557,2.0413533834586466,1.6860902255639099,1.530701754385965,1.4849624060150375,1.5469924812030076
qec9xz,17,2.8333333333333335,2.8333333333333335,2.4375,2.2916666666666665,2.1666666666666665,2.2291666666666665
qft,18,2.6363636363636362,2.01010101010101,1.9659090909090908,1.4987373737373746,1.803030303030303,1.6969696969696972
qpeexact,16,2.7093023255813953,2.102713178294573,2.0755813953488373,1.626937984496125,1.877906976744186,1.7209302325581401
qram,20,1.8461538461538463,1.6923076923076923,1.7403846153846154,1.3867521367521376,1.455128205128205,1.4519230769230769
sat,11,1.6813725490196079,1.4313725490196079,1.6286764705882353,1.2283496732026145,1.2990196078431373,1.232843137254902
swap_test,25,1.3870967741935485,1.2903225806451613,1.4274193548387097,1.0698924731182795,1.0887096774193548,1.1169354838709677
wstate,27,1.6785714285714286,1.6428571428571428,1.9553571428571428,1.4523809523809523,1.3928571428571428,1.2589285714285714
