program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.6076923076923078,1.6538461538461537,1.7192307692307693,1.2884615384615385,1.5076923076923077,1.2980769230769231
bv,19,2.8333333333333335,4.555555555555555,3.375,2.8611111111111107,2.638888888888889,3.1805555555555554
gcm,13,1.4696673189823874,1.157860404435747,1.2666340508806262,0.9742335290280517,1.168297455968689,0.9735812133072422
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.3833333333333334
knn,25,1.7857142857142858,2.0,1.5714285714285714,1.0248015873015874,1.1904761904761905,1.0833333333333333
multiplier,15,1.7162162162162162,1.7567567567567568,1.864864864864865,1.3483483483483483,1.4031531531531531,1.3896396396396395
qec9xz,17,2.46875,1.6875,1.921875,1.7187499999999998,1.609375,1.640625
qft,18,1.4640522875816993,1.0283224400871456,1.0857843137254901,0.9498910675381259,1.1405228758169934,1.0114379084967318
qpeexact,16,1.7230769230769232,1.3121794871794872,1.4019230769230768,1.0041666666666647,1.273076923076923,1.1224358974358972
qram,20,2.023076923076923,2.076923076923077,1.9211538461538462,1.3641025641025635,1.6076923076923078,1.4403846153846154
sat,11,1.6507936507936507,1.4206349206349207,1.5803571428571428,1.2582671957671956,1.3194444444444444,1.2390873015873016
swap_test,25,2.5595238095238093,1.5,1.7232142857142858,1.464285714285715,1.380952380952381,1.130952380952381
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
