program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.2840909090909092,1.1136363636363635,1.4147727272727273,0.994318181818182,1.0909090909090908,1.0085227272727273
bv,19,1.3888888888888888,1.2777777777777777,1.5,1.074074074074074,1.1111111111111112,1.0833333333333333
gcm,13,1.268627450980392,0.9915032679738575,1.1779411764705883,0.8526143790849685,1.0049019607843137,0.8553921568627461
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.2580645161290323,1.0403225806451613,1.2701612903225807,0.8938172043010753,1.032258064516129,0.842741935483871
multiplier,15,1.4736842105263157,1.406015037593985,1.5112781954887218,1.1854636591478698,1.244360902255639,1.1973684210526316
qec9xz,17,1.8333333333333333,1.5833333333333333,1.875,1.4444444444444444,1.375,1.5208333333333333
qft,18,2.196969696969697,1.2727272727272727,1.6931818181818181,1.1830808080808082,1.6363636363636365,1.2563131313131315
qpeexact,16,2.0348837209302326,1.2829457364341088,1.447674418604651,1.0494186046511635,1.4069767441860466,1.1133720930232562
qram,20,1.435897435897436,1.3076923076923077,1.4711538461538463,1.074786324786325,1.1474358974358974,1.0929487179487178
sat,11,1.2647058823529411,1.125,1.3786764705882353,0.9824346405228757,1.0857843137254901,0.9901960784313726
swap_test,25,1.2741935483870968,1.0483870967741935,1.2701612903225807,0.8602150537634408,1.0483870967741935,0.8790322580645161
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
