program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,3.4615384615384617,3.4846153846153847,4.551923076923077,2.92820512820513,3.0346153846153845,3.175,3.4846153846153847,2.6846153846153844
bv,19,2.2222222222222223,1.8888888888888888,1.5,1.4444444444444444,2.4444444444444446,1.9444444444444444,1.8888888888888888,3.4166666666666665
gcm,13,1.6536203522504893,1.3153946510110885,1.4354207436399218,1.0543052837573408,1.2426614481409002,1.0445205479452069,1.2814863764159634,0.8577278906826847
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336,0.3171677208846974,0.31716772088469747
knn,25,1.3571428571428572,1.5238095238095237,1.4464285714285714,1.1755952380952381,1.125,1.1875,1.369047619047619,0.9017857142857143
multiplier,15,3.1216216216216215,3.6171171171171173,2.489864864864865,2.3813813813813853,2.4527027027027026,2.6396396396396398,3.2117117117117115,1.5675675675675675
qec9xz,17,4.90625,4.1875,3.8203125,3.093750000000001,3.046875,3.421875,4.96875,2.5
qft,18,1.5326797385620916,1.4640522875817,1.1495098039215685,1.0569172113289766,2.0,1.1072984749455341,1.4444444195117825,0.7287581574683096
qpeexact,16,3.3423076923076924,2.844871794871792,2.480769230769231,2.155769230769235,2.148076923076923,2.1592948717948723,2.7057941143329325,1.3955947875976562
qram,20,4.069230769230769,3.276923076923077,3.3634615384615385,2.917307692307697,2.6,2.9076923076923076,3.3461538461538463,2.0153846153846153
sat,11,2.123015873015873,2.3253968253968256,2.3601190476190474,1.6388888888888888,1.6130952380952381,1.6825396825396826,2.1944444444444446,1.2976190476190477
swap_test,25,1.6428571428571428,1.7261904761904763,1.4464285714285714,1.2529761904761905,1.0714285714285714,1.1875,1.6666666666666667,0.9375
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
