program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.8181818181818181,1.6079545454545454,1.8153409090909092,1.477272727272728,1.4602272727272727,1.7017045454545454,1.6363636363636365,1.125
bv,19,2.7222222222222223,2.2777777777777777,2.2916666666666665,1.7777777777777777,1.9444444444444444,2.0416666666666665,2.611111111111111,1.4722222222222223
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333,0.4231851155116666,0.4231851155116666
knn,25,2.0,2.193548387096774,1.4516129032258065,1.0483870967741935,1.096774193548387,1.1088709677419355,1.3064516129032258,1.3508064516129032
multiplier,15,2.1654135338345863,2.045112781954887,1.9906015037593985,1.6441102756892227,1.6466165413533835,1.6616541353383458,1.9887218045112782,1.2894736842105263
qec9xz,17,4.166666666666667,3.5833333333333335,3.4375,3.138888888888889,3.0,2.9791666666666665,4.25,2.125
qft,18,1.4696969696969697,1.4242424242424243,1.1022727272727273,1.0303030303030298,0.9848484848484849,1.071969696969697,1.4090912558815696,0.7121213855165424
qpeexact,16,2.813953488372093,2.746124031007752,1.9534883720930232,1.6598837209302335,1.8255813953488371,1.6802325581395352,2.688147256540698,1.4615734011627908
qram,20,2.6666666666666665,2.5128205128205128,2.326923076923077,2.03525641025641,1.9102564102564104,2.1025641025641026,2.3461538461538463,1.5352564102564104
sat,11,1.7598039215686274,1.6176470588235294,1.6691176470588236,1.3202614379084963,1.4093137254901962,1.3455882352941178,1.6176470588235294,1.0563725490196079
swap_test,25,2.2580645161290325,1.5161290322580645,1.9838709677419355,1.1330645161290323,1.185483870967742,1.6411290322580645,1.3064516129032258,0.8548387096774194
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
