program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.75,1.5227272727272727,1.7982954545454546,1.5227272727272727,1.1079545454545454,1.291666666666667,1.4034090909090908,1.3551136363636365
bv,19,1.8888888888888888,1.8888888888888888,1.5,1.8888888888888888,1.25,1.4444444444444444,1.4444444444444444,1.4444444444444444
gcm,13,1.3137254901960784,1.0712418300653603,1.2029411764705882,1.0562554593766875,0.7231643769456,0.8954248366013088,1.0274509803921568,0.898692810457517
ising,26,1.0,0.4583333333333333,0.75,0.4231851155116666,0.4231851155116666,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.3870967741935485,1.4193548387096775,1.3548387096774193,1.3064516129032258,0.8669354838709677,1.0631720430107525,1.096774193548387,1.1088709677419355
multiplier,15,2.007518796992481,2.2518796992481205,1.843984962406015,2.1954887218045114,1.300751879699248,1.6885964912280693,1.631578947368421,1.7105263157894737
qec9xz,17,3.0833333333333335,3.3333333333333335,2.8125,3.0833333333333335,1.6666666666666667,2.555555555555556,2.2083333333333335,2.5
qft,18,1.4696969696969697,1.497474747474748,1.1022727272727273,1.4090912558815696,0.7121213855165424,1.1199494949494948,1.6515151515151516,1.1603535353535355
qpeexact,16,2.697674418604651,2.37596899224806,2.005813953488372,2.08918087981468,1.0034719067950582,1.7645348837209298,1.7848837209302326,1.8352713178294568
qram,20,1.9871794871794872,1.794871794871795,2.0096153846153846,1.794871794871795,1.2852564102564104,1.4059829059829068,1.5320512820512822,1.608974358974359
sat,11,1.6029411764705883,1.5637254901960784,1.5955882352941178,1.5759803921568627,1.0098039215686274,1.2136437908496733,1.286764705882353,1.2279411764705883
swap_test,25,1.3870967741935485,1.3064516129032258,1.3548387096774193,1.3064516129032258,0.8669354838709677,1.0631720430107525,1.096774193548387,1.1088709677419355
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
