program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.875,1.8068181818181819,1.6619318181818181,1.2500000000000002,1.3352272727272727,1.3380681818181819,1.5511363636363635,1.09375
bv,19,1.8888888888888888,2.5555555555555554,2.25,1.7685185185185186,1.8611111111111112,2.0555555555555554,2.388888888888889,1.0833333333333333
ising,26,3.75,3.0833333333333335,2.625,2.1666666666666665,2.625,2.3125,1.8251760214147068,1.9283974643118884
knn,25,1.4838709677419355,1.6129032258064515,1.6330645161290323,1.2768817204301075,1.282258064516129,1.2338709677419355,1.467741935483871,0.9717741935483871
multiplier,15,1.9248120300751879,1.9172932330827068,1.894736842105263,1.5419799498746862,1.6165413533834587,1.5676691729323309,1.8157894736842106,1.2105263157894737
qec9xz,17,3.25,3.9166666666666665,2.6875,2.611111111111111,2.625,2.3333333333333335,3.4166666666666665,2.2083333333333335
qft,18,2.696969696969697,2.3308080808080813,1.6704545454545454,1.6742424242424256,1.7348484848484849,1.9116161616161624,2.086307410037879,1.0567072088068181
qpeexact,16,2.802325581395349,2.643410852713177,2.136627906976744,1.8294573643410847,2.2209302325581395,2.071705426356589,2.3154772381449855,1.365078238553779
qram,20,1.9743589743589745,2.0833333333333335,2.0096153846153846,1.6880341880341883,1.6153846153846154,1.6025641025641026,1.9615384615384615,1.3012820512820513
sat,11,1.7352941176470589,1.607843137254902,1.6544117647058822,1.3141339869281041,1.411764705882353,1.3406862745098038,1.5465686274509804,1.0575980392156863
swap_test,25,1.5483870967741935,1.3548387096774193,1.439516129032258,1.3266129032258067,1.2016129032258065,1.2096774193548387,1.532258064516129,0.9879032258064516
wstate,27,1.7142857142857142,1.8571428571428572,1.9821428571428572,1.577380952380952,1.375,1.5267857142857142,1.9285714285714286,1.3928571428571428
