program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.6818181818181819,1.4943181818181819,1.6875,1.5284090909090908,1.0568181818181819,1.2566287878787876,1.2897727272727273,1.3210227272727273
bv,19,2.0,2.0,1.7916666666666667,1.9444444444444444,1.1388888888888888,1.4166666666666667,1.4444444444444444,1.4444444444444444
gcm,13,1.303921568627451,1.0627450980392166,1.1985294117647058,1.0543829068825032,0.7187164597302255,0.8911764705882368,1.022549019607843,0.8982026143790857
ising,26,3.25,2.2916666666666665,2.8125,1.9290385876284246,1.6434467958119532,2.1666666666666665,2.5,2.2291666666666665
knn,25,1.3709677419354838,1.2903225806451613,1.4516129032258065,1.3064516129032258,0.8548387096774194,1.064516129032258,1.1209677419354838,1.0766129032258065
multiplier,15,2.030075187969925,1.9248120300751879,1.6860902255639099,2.0037593984962405,1.25,1.5062656641604006,1.518796992481203,1.5469924812030076
qec9xz,17,3.1666666666666665,3.1666666666666665,2.5625,3.0,1.7916666666666667,2.3194444444444446,2.2083333333333335,2.25
qft,18,2.3484848484848486,2.1136363636363638,2.0,1.8181944182424834,1.0305148037997158,1.5631313131313143,1.5984848484848484,1.5202020202020206
qpeexact,16,2.7209302325581395,2.2364341085271318,1.9883720930232558,2.091384532839753,1.105847026026526,1.6928294573643419,1.8430232558139534,1.5406976744186054
qram,20,1.8205128205128205,1.8269230769230769,1.75,1.8461538461538463,1.1762820512820513,1.371794871794872,1.4807692307692308,1.439102564102564
sat,11,1.6274509803921569,1.4901960784313726,1.5625,1.536764705882353,1.0147058823529411,1.1964869281045747,1.2892156862745099,1.232843137254902
swap_test,25,1.4516129032258065,1.2903225806451613,1.4153225806451613,1.346774193548387,0.842741935483871,1.0416666666666665,1.1612903225806452,1.1814516129032258
wstate,27,1.5357142857142858,1.5,1.7142857142857142,1.5714285714285714,1.2321428571428572,1.4226190476190477,1.3214285714285714,1.3482142857142858
