program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.2272727272727273,1.0909090909090908,1.40625,1.0909090909090908,0.8977272727272727,0.9640151515151515,1.0681818181818181,1.0142045454545454
bv,19,1.2777777777777777,1.2222222222222223,1.5,1.2222222222222223,1.0,1.0648148148148147,1.0833333333333333,1.0972222222222223
gcm,13,1.2666666666666666,0.9882352941176483,1.1794117647058824,0.9803449594262614,0.6913774465977756,0.8521241830065371,1.0029411764705882,0.8568627450980402
ising,26,1.0,0.4583333333333333,0.75,0.4231851155116666,0.4231851155116666,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.2419354838709677,1.0,1.2338709677419355,1.0,0.7580645161290323,0.8776881720430108,1.032258064516129,0.8790322580645161
multiplier,15,1.4736842105263157,1.3759398496240602,1.5169172932330828,1.368421052631579,0.9962406015037594,1.179824561403509,1.2330827067669172,1.2011278195488722
qec9xz,17,1.75,1.5833333333333333,1.9375,2.0,1.2916666666666667,1.5,1.4166666666666667,1.5
qft,18,2.212121212121212,1.4318181818181825,1.5568181818181819,1.2380038174715908,0.5920336174242424,1.143939393939394,1.5,1.0757575757575755
qpeexact,16,1.8953488372093024,1.3391472868217056,1.5174418604651163,1.1365306765534158,0.6488498421602471,1.0755813953488378,1.377906976744186,1.1124031007751944
qram,20,1.4102564102564104,1.2628205128205128,1.5,1.3012820512820513,0.9134615384615384,1.0598290598290598,1.185897435897436,1.1057692307692308
sat,11,1.2647058823529411,1.1323529411764706,1.3786764705882353,1.107843137254902,0.8762254901960784,1.007761437908497,1.0906862745098038,1.008578431372549
swap_test,25,1.2903225806451613,1.032258064516129,1.2701612903225807,1.0,0.7701612903225806,0.8669354838709677,1.0483870967741935,0.8951612903225806
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
