program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.8923076923076922,1.9230769230769231,1.9038461538461537,1.4455128205128203,1.4538461538461538,1.5711538461538461
bv,19,1.9444444444444444,2.111111111111111,1.5,2.0925925925925926,1.5,1.7638888888888888
gcm,13,1.455968688845401,1.1911285061969994,1.3018590998043054,1.0136986301369884,1.1281800391389432,1.0239726027397278
ising,26,1.56,1.0433333333333332,1.11,0.86,1.04,0.7183333333333333
knn,25,1.4880952380952381,1.3928571428571428,1.5714285714285714,1.1577380952380953,1.3035714285714286,1.2946428571428572
multiplier,15,2.3333333333333335,2.1036036036036037,2.0236486486486487,1.7372372372372376,1.7477477477477477,1.8896396396396395
qec9xz,17,3.1875,3.21875,2.8359375,2.4843749999999996,2.40625,2.6015625
qft,18,1.6699346405228759,1.515250544662311,1.2745098039215685,1.1209150326797397,1.1699346405228759,1.1601307189542485
qpeexact,16,2.4307692307692306,2.283974358974358,1.9528846153846153,1.6487179487179533,1.7192307692307693,1.725320512820513
qram,20,2.5153846153846153,2.3153846153846156,2.203846153846154,1.9012820512820499,1.85,1.8653846153846154
sat,11,2.003968253968254,1.8134920634920635,1.8333333333333333,1.4424603174603168,1.5238095238095237,1.4851190476190477
swap_test,25,1.5714285714285714,1.4880952380952381,1.5982142857142858,1.142857142857143,1.2797619047619047,1.2291666666666667
wstate,27,1.75,1.4615384615384615,2.019230769230769,1.5833333333333335,1.4615384615384615,1.5961538461538463
