program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.376923076923077,1.1846153846153846,1.448076923076923,1.0916666666666666,1.1692307692307693,1.0711538461538461
bv,19,1.5,1.5,1.5,1.2222222222222223,1.3333333333333333,1.2222222222222223
gcm,13,1.3091976516634052,1.0391389432485338,1.200587084148728,0.8884540117416844,1.0234833659491194,0.8842139595564265
ising,26,1.0,0.3833333333333333,0.75,0.38333333333333336,0.75,0.38333333333333336
knn,25,1.3095238095238095,1.2261904761904763,1.4196428571428572,1.0476190476190477,1.0892857142857142,1.0476190476190477
multiplier,15,1.5810810810810811,1.4684684684684686,1.6047297297297298,1.2428678678678677,1.3108108108108107,1.257882882882883
qec9xz,17,1.96875,1.71875,1.7109375,1.4375,1.59375,1.4609375
qft,18,1.3660130718954249,1.0452069716775607,1.0269607843137254,0.8289760348583858,0.9362745098039216,0.8483115468409582
qpeexact,16,1.4615384615384615,1.2262820512820516,1.1105769230769231,0.9314102564102544,1.051923076923077,0.9887820512820503
qram,20,1.646153846153846,1.5384615384615385,1.626923076923077,1.2211538461538463,1.3269230769230769,1.2884615384615385
sat,11,1.5396825396825398,1.3412698412698412,1.4672619047619047,1.1144179894179895,1.2063492063492063,1.1359126984126984
swap_test,25,1.3214285714285714,1.1785714285714286,1.4375,1.0833333333333333,1.119047619047619,1.1369047619047619
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
