program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het
bigadder,18,1.3295454545454546,1.2954545454545454,1.3721590909090908,1.0700757575757576,1.1818181818181819,1.1193181818181819
bv,19,1.5555555555555556,1.6111111111111112,1.5833333333333333,1.2222222222222223,1.3888888888888888,1.2222222222222223
gcm,13,1.2862745098039217,1.0333333333333352,1.1941176470588235,0.8774509803921582,1.0127450980392156,0.8825163398692822
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.3709677419354838,1.1612903225806452,1.3185483870967742,1.0295698924731183,1.0887096774193548,1.0201612903225807
multiplier,15,1.5112781954887218,1.5112781954887218,1.669172932330827,1.2819548872180453,1.4097744360902256,1.2293233082706767
qec9xz,17,3.0833333333333335,1.8333333333333333,1.8125,1.5138888888888886,1.8333333333333333,1.625
qft,18,2.727272727272727,1.5353535353535361,1.9090909090909092,1.4823232323232334,1.9090909090909092,1.43939393939394
qpeexact,16,2.2209302325581395,1.602713178294574,1.5436046511627908,1.183139534883722,1.4883720930232558,1.1928294573643416
qram,20,1.5384615384615385,1.3653846153846154,1.5480769230769231,1.2617521367521367,1.1474358974358974,1.4070512820512822
sat,11,1.5637254901960784,1.3235294117647058,1.4669117647058822,1.1801470588235292,1.2034313725490196,1.1544117647058822
swap_test,25,1.4193548387096775,1.2419354838709677,1.3064516129032258,1.0349462365591398,1.153225806451613,1.1491935483870968
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0
