program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.6363636363636365,1.4772727272727273,1.59375,1.4715909090909092,1.0909090909090908,1.3030303030303032,1.3125,1.25
bv,19,2.0,1.8888888888888888,1.6666666666666667,2.0,1.0,1.4259259259259258,1.4166666666666667,1.625
gcm,13,1.315686274509804,1.0555555555555565,1.201470588235294,1.0369894611493091,0.7290073214292773,0.8929738562091518,1.0284313725490195,0.8921568627450991
ising,26,3.25,2.6666666666666665,2.625,3.360552762531352,1.4682868327045506,2.2499999999999996,2.625,2.2291666666666665
knn,25,1.3870967741935485,1.3064516129032258,1.4153225806451613,1.2903225806451613,0.8830645161290323,1.0725806451612903,1.096774193548387,1.0806451612903225
multiplier,15,2.045112781954887,1.8270676691729324,1.7030075187969924,2.0488721804511276,1.1917293233082706,1.5808270676691722,1.4736842105263157,1.5432330827067668
qec9xz,17,3.25,3.0833333333333335,2.625,2.8333333333333335,1.625,2.388888888888889,2.125,2.1041666666666665
qft,18,2.5606060606060606,1.9747474747474754,1.9204545454545454,1.8184925426136365,0.8714894959420869,1.4595959595959604,1.7954545454545454,1.6325757575757576
qpeexact,16,2.5348837209302326,2.0891472868217047,1.9534883720930232,2.104708649391352,0.9642632063045058,1.6317829457364352,1.8430232558139534,1.6550387596899232
qram,20,1.8974358974358974,1.8076923076923077,1.7115384615384615,1.7628205128205128,1.1378205128205128,1.2777777777777781,1.2884615384615385,1.4423076923076923
sat,11,1.6764705882352942,1.3872549019607843,1.6029411764705883,1.3872549019607843,0.9607843137254902,1.2295751633986927,1.2647058823529411,1.2401960784313726
swap_test,25,1.3870967741935485,1.2903225806451613,1.3669354838709677,1.2903225806451613,0.8588709677419355,1.010752688172043,1.1129032258064515,1.1330645161290323
wstate,27,1.7142857142857142,1.5357142857142858,1.6875,1.7142857142857142,1.2857142857142858,1.607142857142857,1.4285714285714286,1.3214285714285714
