program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.7272727272727273,1.5511363636363635,1.8238636363636365,1.5511363636363635,1.1079545454545454,1.2831439393939397,1.3636363636363635,1.3465909090909092
bv,19,1.8888888888888888,1.8888888888888888,1.5,1.8888888888888888,1.0,1.4444444444444444,1.4444444444444444,1.4444444444444444
gcm,13,1.3235294117647058,1.0666666666666675,1.2117647058823529,1.0599272041123968,0.7307152055397221,0.8970588235294132,1.0284313725490195,0.9037581699346416
ising,26,1.0,0.4583333333333333,0.75,0.4231851155116666,0.4231851155116666,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.3870967741935485,1.3064516129032258,1.3548387096774193,1.2903225806451613,0.8669354838709677,1.0551075268817203,1.096774193548387,1.1088709677419355
multiplier,15,2.007518796992481,2.045112781954887,1.843984962406015,2.045112781954887,1.300751879699248,1.6979949874686708,1.631578947368421,1.7105263157894737
qec9xz,17,2.9166666666666665,3.0833333333333335,2.625,2.9166666666666665,1.7916666666666667,2.444444444444444,2.2916666666666665,2.5
qft,18,2.5303030303030303,1.497474747474748,1.7613636363636365,1.4090912558815696,0.7121213855165424,1.2891414141414148,1.7803030303030303,1.1603535353535355
qpeexact,16,2.6627906976744184,2.327519379844961,1.9534883720930232,2.287259124046148,1.1383127611736918,1.6104651162790709,1.877906976744186,1.7112403100775195
qram,20,1.9487179487179487,1.7115384615384615,2.0096153846153846,1.7243589743589745,1.1987179487179487,1.5138888888888897,1.5128205128205128,1.669871794871795
sat,11,1.6029411764705883,1.5024509803921569,1.5955882352941178,1.5024509803921569,0.9950980392156863,1.2136437908496733,1.286764705882353,1.2279411764705883
swap_test,25,1.3870967741935485,1.3064516129032258,1.3548387096774193,1.3064516129032258,0.8669354838709677,1.0631720430107525,1.096774193548387,1.1088709677419355
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
