program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.5909090909090908,1.4772727272727273,1.7301136363636365,1.5795454545454546,1.0539772727272727,1.271780303030303,1.3068181818181819,1.2613636363636365
bv,19,1.9444444444444444,1.9444444444444444,1.6666666666666667,2.0,1.0,1.5185185185185186,1.5,1.5833333333333333
gcm,13,1.315686274509804,1.0604575163398706,1.2029411764705882,1.052001736310638,0.7277027538833961,0.8947712418300667,1.0254901960784313,0.9001633986928117
ising,26,3.75,2.7916666666666665,2.625,2.8584918243030777,1.5243656684186475,1.9999999999999998,2.25,2.041666666666667
knn,25,1.4193548387096775,1.346774193548387,1.3548387096774193,1.3387096774193548,0.8790322580645161,1.0376344086021507,1.0887096774193548,1.1008064516129032
multiplier,15,1.8646616541353382,1.8984962406015038,1.6860902255639099,2.030075187969925,1.2387218045112782,1.5394736842105263,1.518796992481203,1.5451127819548873
qec9xz,17,2.9166666666666665,3.1666666666666665,2.5625,2.75,1.625,2.138888888888889,2.125,2.2916666666666665
qft,18,2.590909090909091,2.0883838383838396,2.0113636363636362,1.8637473366477273,0.871245644309304,1.6363636363636374,1.878787878787879,1.655303030303031
qpeexact,16,2.7093023255813953,2.209302325581395,1.997093023255814,2.027072640352471,1.0665382562681687,1.5455426356589166,1.8662790697674418,1.6191860465116286
qram,20,1.9487179487179487,1.7307692307692308,1.8557692307692308,1.7243589743589745,1.1923076923076923,1.387820512820513,1.4743589743589745,1.3942307692307692
sat,11,1.6225490196078431,1.4730392156862746,1.5625,1.4313725490196079,0.9926470588235294,1.2177287581699348,1.2990196078431373,1.258578431372549
swap_test,25,1.403225806451613,1.2419354838709677,1.439516129032258,1.3225806451612903,0.8669354838709677,1.099462365591398,1.1209677419354838,1.1653225806451613
wstate,27,1.6428571428571428,1.6071428571428572,1.9285714285714286,1.4285714285714286,1.1785714285714286,1.4226190476190477,1.3571428571428572,1.4375
