program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.2386363636363635,1.0965909090909092,1.3977272727272727,1.1136363636363635,0.9119318181818182,0.9715909090909091,1.0965909090909092,0.9914772727272727
bv,19,1.3333333333333333,1.2777777777777777,1.5,1.2777777777777777,1.0,1.1018518518518519,1.0833333333333333,1.0972222222222223
gcm,13,1.2705882352941176,0.993464052287583,1.1808823529411765,0.9812293100303902,0.6925793715995257,0.855228758169936,1.0029411764705882,0.855392156862746
ising,26,1.0,0.4583333333333333,0.75,0.4231851155116666,0.4231851155116666,0.4583333333333333,0.75,0.4583333333333333
knn,25,1.2580645161290323,0.967741935483871,1.2338709677419355,1.0,0.7782258064516129,0.8669354838709677,1.0403225806451613,0.8790322580645161
multiplier,15,1.4511278195488722,1.394736842105263,1.5169172932330828,1.368421052631579,0.9849624060150376,1.2036340852130327,1.236842105263158,1.2274436090225564
qec9xz,17,1.6666666666666667,1.6666666666666667,1.875,1.5833333333333333,1.2916666666666667,1.4027777777777777,1.4583333333333333,1.4583333333333333
qft,18,2.287878787878788,1.4368686868686875,1.7272727272727273,1.1663744377367424,0.5866255326704546,1.116161616161616,1.7045454545454546,1.1982323232323235
qpeexact,16,1.9883720930232558,1.3837209302325586,1.5087209302325582,1.0940800156704216,0.6058988349382267,1.0484496124031013,1.4011627906976745,1.0542635658914732
qram,20,1.4230769230769231,1.294871794871795,1.4807692307692308,1.2628205128205128,0.9262820512820513,1.0683760683760686,1.1730769230769231,1.1121794871794872
sat,11,1.2107843137254901,1.1200980392156863,1.3786764705882353,1.125,0.8713235294117647,0.9824346405228757,1.088235294117647,0.9816176470588235
swap_test,25,1.2580645161290323,1.0161290322580645,1.2459677419354838,0.967741935483871,0.7540322580645161,0.8736559139784946,1.0403225806451613,0.8548387096774194
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
