program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,2.5307692307692307,2.353846153846154,2.394230769230769,1.9044871794871774,1.9423076923076923,1.9461538461538461,2.353846153846154,1.5365384615384616
bv,19,2.6666666666666665,2.6666666666666665,2.375,2.0925925925925926,2.0277777777777777,2.125,2.6666666666666665,1.5833333333333333
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336,0.3171677208846974,0.3171677208846974
knn,25,2.5952380952380953,2.4047619047619047,2.4285714285714284,1.9345238095238095,1.9761904761904763,1.9821428571428572,2.4047619047619047,1.5535714285714286
multiplier,15,2.31981981981982,2.184684684684685,2.260135135135135,1.7852852852852865,1.8063063063063063,1.8254504504504505,2.184684684684685,1.4594594594594594
qec9xz,17,4.4375,4.4375,3.890625,3.427083333333335,3.25,3.515625,4.4375,2.59375
qft,18,1.7418300653594772,1.5103485838779969,1.3063725490196079,1.1187363834422672,1.1879084967320261,1.162581699346406,1.4345511392830244,0.7335930992575252
qpeexact,16,2.773076923076923,2.457692307692307,2.0798076923076922,1.817307692307699,1.8865384615384615,1.8862179487179502,2.3583528958834137,1.2070595374474158
qram,20,2.9384615384615387,2.746153846153846,2.6307692307692307,2.1621794871794866,2.1884615384615387,2.2211538461538463,2.746153846153846,1.6865384615384615
sat,11,2.4365079365079363,2.234126984126984,2.2410714285714284,1.787037037037039,1.8472222222222223,1.8343253968253967,2.234126984126984,1.4226190476190477
swap_test,25,2.869047619047619,2.6666666666666665,2.6607142857142856,2.1339285714285703,2.1666666666666665,2.1875,2.6666666666666665,1.7053571428571428
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
