program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,2.169230769230769,2.0,2.1403846153846153,1.6525641025641014,1.7038461538461538,1.6865384615384615,2.0,1.3692307692307693
bv,19,3.2777777777777777,3.2777777777777777,3.0,2.5833333333333335,2.4722222222222223,2.638888888888889,3.2777777777777777,2.0
gcm,13,1.6203522504892367,1.3131115459882576,1.4794520547945205,1.09621656881931,1.2524461839530332,1.1112198303979133,1.2999012624304604,0.885392505679059
ising,26,1.72,1.103333333333333,1.29,0.9033333333333331,1.23,0.9233333333333331,1.0371677208846974,0.6771677208846976
knn,25,2.1785714285714284,1.9761904761904763,2.125,1.629960317460318,1.7023809523809523,1.6636904761904763,1.9761904761904763,1.3482142857142858
multiplier,15,2.22972972972973,2.09009009009009,2.185810810810811,1.7158408408408419,1.7454954954954955,1.7522522522522523,2.09009009009009,1.4087837837837838
qec9xz,17,3.15625,3.15625,2.90625,2.4947916666666665,2.390625,2.546875,3.15625,1.9375
qft,18,1.9052287581699345,1.6023965141612222,1.428921568627451,1.1949891067538148,1.3055555555555556,1.2412854030501097,1.4872841180539598,0.7584369509827857
qpeexact,16,2.576923076923077,2.1493589743589747,1.935576923076923,1.6112179487179537,1.771153846153846,1.6669871794871813,2.0083580603966347,1.0397557185246393
qram,20,2.523076923076923,2.3230769230769233,2.348076923076923,1.8666666666666651,1.9192307692307693,1.9134615384615385,2.3230769230769233,1.4961538461538462
sat,11,2.2698412698412698,2.0476190476190474,2.1011904761904763,1.6517857142857157,1.7361111111111112,1.689484126984127,2.0476190476190474,1.3244047619047619
swap_test,25,2.238095238095238,2.0357142857142856,2.1785714285714284,1.6755952380952388,1.744047619047619,1.7113095238095237,2.0357142857142856,1.3839285714285714
wstate,27,2.6538461538461537,2.6538461538461537,2.7115384615384617,2.185897435897436,2.0961538461538463,2.230769230769231,2.6538461538461537,1.8076923076923077
