program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,2.574712643678161,2.425287356321839,3.32183908045977,1.9048162353662235,2.5367457921227885,1.8620689655172413,1.4137931034482758,2.0201149425287355
bv_n19,19,3.1666666666666665,3.1666666666666665,3.8333333333333335,2.487094184091918,3.010692959690219,2.2777777777777777,1.5555555555555556,2.5416666666666665
cat_state_n22,22,2.857142857142857,2.857142857142857,3.7142857142857144,2.243994752564137,2.9171931783333807,2.142857142857143,1.5714285714285714,2.357142857142857
dnn_n16,16,4.25,3.1875,4.25,2.3456121948667357,2.3939347617959346,2.3125,1.71875,2.53125
gcm_n13,13,1.6542239685658153,1.3326784544859196,2.0098231827111985,1.0368183799813575,1.4204192243048086,1.0065487884741338,0.9037328094302554,1.1278650949574336
ghz_state_n23,23,2.772727272727273,2.772727272727273,3.772727272727273,2.177694907602015,2.9630930709994643,2.1818181818181817,1.5909090909090908,2.3295454545454546
ising_n26,26,4.5,3.5833333333333335,4.5,2.7527675251923447,3.1493405601923445,2.583333333333333,1.75,2.8333333333333335
knn_n25,25,2.5161290322580645,2.2419354838709675,3.064516129032258,1.7608120114878274,2.2611866478458786,1.6774193548387097,1.2903225806451613,1.842741935483871
multiplier_n15,15,2.1353383458646618,2.0488721804511276,2.81203007518797,1.6091804475624387,2.179037009726752,1.5714285714285714,1.218045112781955,1.7161654135338347
qec9xz_n17,17,4.583333333333333,4.583333333333333,5.5,3.599741582238303,4.319689898685966,3.3333333333333335,2.1666666666666665,3.6666666666666665
qf21_n15,15,2.1785714285714284,1.7529761904761896,2.294642857142857,1.2713550592454,1.4086600360181993,1.2529761904761905,0.9107142857142857,1.3988095238095235
qft_n18,18,4.0606060606060606,3.0328282828282815,4.0606060606060606,2.0698165465873024,2.1426922550784444,2.1843434343434347,1.606060606060606,2.3989898989898992
qpeexact_16,16,4.534883720930233,3.674418604651164,4.546511627906977,2.664544695166501,2.7885764062846548,2.593023255813951,1.744186046511628,2.8653100775193776
qram_n20,20,2.858974358974359,2.673076923076923,3.551282051282051,2.0994297060047167,2.698547535775845,1.9935897435897436,1.4871794871794872,2.201923076923077
sat_n11,11,2.1813725490196076,2.0294117647058822,2.7892156862745097,1.5938962727771793,2.1078700708828575,1.5196078431372548,1.2107843137254901,1.6887254901960784
swap_test_n25,25,2.467741935483871,2.193548387096774,3.0,1.7228088745492414,2.210515798594431,1.6451612903225807,1.2580645161290323,1.8024193548387097
wstate_n27,27,3.0714285714285716,3.0714285714285716,4.035714285714286,2.4122943590064465,3.1696425879968446,2.357142857142857,1.6785714285714286,2.544642857142857
