program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.6153846153846154,1.4384615384615385,1.7538461538461538,1.257051282051282,1.3423076923076922,1.275,1.4384615384615385,1.1096153846153847
bv,19,2.7222222222222223,2.7222222222222223,2.75,2.2314814814814814,2.138888888888889,2.2777777777777777,2.7222222222222223,1.8333333333333333
gcm,13,1.6007827788649707,1.2837573385518584,1.50587084148728,1.0887149380300079,1.2504892367906066,1.1030658838878025,1.2701069574983765,0.9012072466473149
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336,0.3171677208846975,0.3171677208846975
knn,25,1.7857142857142858,1.5714285714285714,1.875,1.3531746031746035,1.4523809523809523,1.375,1.5714285714285714,1.1785714285714286
multiplier,15,1.8423423423423424,1.6846846846846846,1.9493243243243243,1.442567567567568,1.5022522522522523,1.4662162162162162,1.6846846846846846,1.2466216216216217
qec9xz,17,2.0625,2.0625,2.203125,1.739583333333333,1.6875,1.765625,2.0625,1.46875
qft,18,1.411764705882353,1.0255991285403054,1.0588235294117647,0.7892156862745079,0.9869281045751634,0.8186274509803912,0.8689585417703866,0.44910453347598805
qpeexact,16,1.6807692307692308,1.2243589743589742,1.2634615384615384,0.9487179487179462,1.176923076923077,0.9769230769230755,1.0681955190805288,0.5682876586914063
qram,20,1.8846153846153846,1.6538461538461537,1.875,1.3910256410256407,1.5,1.4134615384615385,1.6538461538461537,1.1730769230769231
sat,11,1.6507936507936507,1.4166666666666667,1.6994047619047619,1.2169312169312168,1.3392857142857142,1.2371031746031746,1.4166666666666667,1.0535714285714286
swap_test,25,1.75,1.5357142857142858,1.8482142857142858,1.3273809523809528,1.4285714285714286,1.3482142857142858,1.5357142857142858,1.1607142857142858
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
