program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.8977272727272727,1.7386363636363635,2.002840909090909,1.4857954545454553,1.5454545454545454,1.5113636363636365,1.7386363636363635,1.28125
bv,19,2.4444444444444446,2.4444444444444446,2.4583333333333335,2.0,1.9166666666666667,2.0416666666666665,2.4444444444444446,1.6388888888888888
gcm,13,1.5490196078431373,1.2362745098039214,1.4397058823529412,1.0441176470588256,1.203921568627451,1.0581699346405238,1.2233660474583445,0.8596253567820852
ising,26,1.0,0.4583333333333333,0.75,0.4583333333333333,0.75,0.4583333333333333,0.4231851155116666,0.4231851155116666
knn,25,1.9838709677419355,1.6935483870967742,1.9233870967741935,1.4112903225806455,1.5483870967741935,1.439516129032258,1.6935483870967742,1.185483870967742
multiplier,15,1.8646616541353382,1.7330827067669172,1.9793233082706767,1.4824561403508765,1.518796992481203,1.505639097744361,1.7330827067669172,1.2781954887218046
qec9xz,17,3.0,3.0,3.0625,2.4722222222222223,2.375,2.5208333333333335,3.0,2.0416666666666665
qft,18,3.090909090909091,2.2196969696969693,2.3181818181818183,1.719696969696972,2.1666666666666665,1.7765151515151525,1.8677120786724668,0.9716458176121567
qpeexact,16,2.802325581395349,2.0968992248062004,2.1017441860465116,1.6182170542635672,1.9534883720930232,1.6666666666666672,1.8368012184320495,0.9645378645076308
qram,20,2.0641025641025643,1.8782051282051282,2.0288461538461537,1.5598290598290607,1.6282051282051282,1.5865384615384615,1.8782051282051282,1.294871794871795
sat,11,1.5686274509803921,1.4068627450980393,1.6764705882352942,1.216911764705882,1.2965686274509804,1.2352941176470589,1.4068627450980393,1.0600490196078431
swap_test,25,1.967741935483871,1.6774193548387097,1.935483870967742,1.4086021505376345,1.5483870967741935,1.435483870967742,1.6774193548387097,1.1935483870967742
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
