program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,2.4384615384615387,2.2615384615384615,2.2326923076923078,1.8070512820512803,1.85,1.8461538461538463,2.2615384238969174,1.4288461148602691
bv,19,4.055555555555555,4.055555555555555,3.125,3.0092592592592586,2.888888888888889,3.0694444444444446,4.055555555555555,2.0833333333333335
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336,0.3171677208846974,0.3171677208846974
knn,25,4.023809523809524,3.9285714285714284,3.4642857142857144,3.0059523809523787,2.9047619047619047,3.113095238095238,3.9285714618598693,2.267857155340309
multiplier,15,4.968468468468468,4.831081081081081,4.16554054054054,3.6741741741741643,3.5563063063063063,3.7826576576576576,4.831081057464283,2.7297297029640237
qec9xz,17,12.34375,12.34375,9.515625,9.046874999999995,8.453125,9.34375,12.34375,6.34375
qft,18,1.5,1.4531590413943354,1.125,1.0501089324618742,1.0016339869281046,1.1034858387799564,1.4362749941073958,0.7201799790854383
qpeexact,16,3.3192307692307694,3.0942307692307676,2.4951923076923075,2.267628205128207,2.2384615384615385,2.3586538461538455,3.016894037536458,1.5240273012643197
qram,20,5.369230769230769,5.207692307692308,4.436538461538461,3.9288461538461643,3.8,4.061538461538461,5.207692321519013,2.8980769248045606
sat,11,2.6587301587301586,2.4265873015873014,2.3601190476190474,1.918320105820109,1.9900793650793651,1.9623015873015872,2.426587276653204,1.4950396572753089
swap_test,25,4.023809523809524,3.9285714285714284,3.4642857142857144,3.0059523809523787,2.9047619047619047,3.113095238095238,3.9285714618598693,2.267857155340309
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
