program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder,18,1.9545454545454546,1.8068181818181819,1.875,1.8068181500428524,1.20454543865779,1.482954545454546,1.5340909090909092,1.5056818181818181
bv,19,2.7222222222222223,2.7222222222222223,2.125,2.7222222222222223,1.4166666666666667,2.0092592592592595,1.8888888888888888,2.0694444444444446
gcm,13,1.503921568627451,1.2104575163398688,1.4132352941176471,1.2004624264330956,0.8523058345858395,1.0289215686274529,1.177450980392157,1.0410130718954256
ising,26,1.0,0.4583333333333333,0.75,0.42318511551166715,0.42318511551166715,0.4583333333333333,0.75,0.4583333333333333
knn,25,2.661290322580645,2.532258064516129,2.3225806451612905,2.532258109616596,1.4919355007836428,1.9543010752688172,1.9516129032258065,2.032258064516129
multiplier,15,3.488721804511278,3.4097744360902253,3.056390977443609,3.409774422950051,2.011278182348548,2.6428571428571446,2.556390977443609,2.710526315789474
qec9xz,17,7.333333333333333,7.333333333333333,5.75,7.333333333333333,3.8333333333333335,5.402777777777775,5.041666666666667,5.583333333333333
qft,18,1.5,1.4318181818181819,1.125,1.4166685603278761,0.7178039695838255,1.0416666666666665,1.0075757575757576,1.0820707070707072
qpeexact,16,2.9651162790697674,2.686046511627906,2.2325581395348837,2.5854882447027765,1.315920805333176,1.9864341085271306,2.011627906976744,2.0620155038759687
qram,20,3.7948717948717947,3.730769230769231,3.2115384615384617,3.7307692486937762,2.118589750311448,2.840811965811963,2.7243589743589745,2.9326923076923075
sat,11,1.9950980392156863,1.8480392156862746,1.8713235294117647,1.8480392047118746,1.1985294007903062,1.4950980392156865,1.5392156862745099,1.5220588235294117
swap_test,25,2.661290322580645,2.532258064516129,2.3225806451612905,2.532258109616596,1.4919355007836428,1.9543010752688172,1.9516129032258065,2.032258064516129
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
