program,num_qubits,cx,zzphase,sqisw,zzphase_,sqisw_,het,can_xx,can_xy
bigadder,18,1.8923076923076922,1.7076923076923076,1.9153846153846155,1.4358974358974355,1.5076923076923077,1.4615384615384615,1.7076922646734005,1.2153845723657082
bv,19,2.2222222222222223,2.2222222222222223,2.375,1.8703703703703707,1.8055555555555556,1.9027777777777777,2.2222222222222223,1.5833333333333333
ising,26,1.0,0.38333333333333336,0.75,0.38333333333333336,0.75,0.38333333333333336,0.3171677208846974,0.3171677208846974
knn,25,2.642857142857143,2.4285714285714284,2.4642857142857144,1.956349206349206,2.011904761904762,2.0,2.4285713786387686,1.5714285214959112
multiplier,15,2.8063063063063063,2.6666666666666665,2.641891891891892,2.1392642642642676,2.135135135135135,2.1925675675675675,2.6666666446243212,1.7128378118593584
qec9xz,17,4.4375,4.4375,3.890625,3.427083333333335,3.25,3.515625,4.4375,2.59375
qft,18,2.303921568627451,1.8845315904139448,1.75,1.423202614379089,1.59640522875817,1.4741285403050124,1.7192681730011485,0.8914858323169628
qpeexact,16,2.503846153846154,2.004487179487182,1.9067307692307693,1.5262820512820556,1.7442307692307693,1.575961538461541,1.8283208002944795,0.9684282962684249
qram,20,2.669230769230769,2.4846153846153847,2.480769230769231,1.9871794871794848,2.019230769230769,2.042307692307692,2.4846153759086436,1.5884615232890922
sat,11,2.0912698412698414,1.8650793650793651,2.0625,1.5505952380952397,1.6408730158730158,1.5833333333333333,1.8650793483350752,1.2986110923358478
swap_test,25,2.642857142857143,2.4285714285714284,2.4642857142857144,1.956349206349206,2.011904761904762,2.0,2.4285713786387686,1.5714285214959112
wstate,27,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0
